id,season,team1,team2,result,target,team2_score,balls_30,team2_30_rn,team2_30_wk,team2_30_ach,balls_60,team2_60_rn,team2_60_wk,team2_60_ach,balls_90,team2_90_rn,team2_90_wk,team2_90_ach,dl_applied,winner,win_by_runs,win_by_wickets,team2_win
111,2008,Royal Challengers Bangalore,Deccan Chargers,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,3,0,
112,2008,Kings XI Punjab,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Kolkata Knight Riders,0,3,
113,2008,Mumbai Indians,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,0,5,
114,2008,Deccan Chargers,Chennai Super Kings,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,0,7,
115,2008,Rajasthan Royals,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,105,0,
116,2008,Kings XI Punjab,Chennai Super Kings,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,0,9,
117,2008,Chennai Super Kings,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,0,3,
118,2009,Mumbai Indians,Chennai Super Kings,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,19,0,
119,2009,Royal Challengers Bangalore,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,75,0,
121,2009,Kolkata Knight Riders,Deccan Chargers,normal,,,90,,,,60,,,,30,,,,0,Deccan Chargers,0,8,
122,2009,Chennai Super Kings,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,92,0,
124,2009,Deccan Chargers,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Deccan Chargers,24,0,
125,2009,Delhi Daredevils,Chennai Super Kings,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,9,0,
126,2009,Rajasthan Royals,Kolkata Knight Riders,tie,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,0,0,
127,2009,Royal Challengers Bangalore,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,0,7,
128,2009,Deccan Chargers,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Deccan Chargers,12,0,
129,2009,Royal Challengers Bangalore,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,0,6,
130,2009,Kings XI Punjab,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,27,0,
131,2009,Chennai Super Kings,Deccan Chargers,normal,,,90,,,,60,,,,30,,,,0,Deccan Chargers,0,6,
132,2009,Mumbai Indians,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,92,0,
133,2009,Delhi Daredevils,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,0,5,
134,2009,Kolkata Knight Riders,Royal Challengers Bangalore,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,0,5,
135,2009,Kings XI Punjab,Mumbai Indians,normal,,,90,,,,60,,,,30,,,,0,Kings XI Punjab,3,0,
136,2009,Deccan Chargers,Delhi Daredevils,normal,,,90,,,,60,,,,30,,,,0,Delhi Daredevils,0,6,
137,2009,Chennai Super Kings,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Chennai Super Kings,38,0,
138,2009,Mumbai Indians,Kolkata Knight Riders,normal,,,90,,,,60,,,,30,,,,0,Mumbai Indians,9,0,
139,2009,Royal Challengers Bangalore,Kings XI Punjab,normal,,,90,,,,60,,,,30,,,,0,Royal Challengers Bangalore,8,0,
140,2009,Deccan Chargers,Rajasthan Royals,normal,,,90,,,,60,,,,30,,,,0,Rajasthan Royals,0,3,
