id,season,team1,team2,result,target,team2_score,balls_30,team2_30_rn,team2_30_wk,team2_30_ach,balls_60,team2_60_rn,team2_60_wk,team2_60_ach,balls_90,team2_90_rn,team2_90_wk,team2_90_ach,dl_applied,winner,win_by_runs,win_by_wickets,team2_win,dls_5,dls_10,dls_15
108,2008,Deccan Chargers,Kings XI Punjab,normal,176,178,90,63,0,115,60,101,1,77,30,135,2,43,0,Kings XI Punjab,0,6,1,1,1,1
109,2008,Mumbai Indians,Delhi Daredevils,normal,177,179,90,50,2,129,60,88,2,91,30,130,5,49,0,Delhi Daredevils,0,5,1,1,1,1
110,2008,Rajasthan Royals,Chennai Super Kings,normal,212,201,90,55,1,146,60,99,2,102,30,157,3,44,0,Rajasthan Royals,10,0,0,1,1,1
111,2008,Royal Challengers Bangalore,Deccan Chargers,normal,157,153,90,31,1,122,60,63,2,90,30,112,2,41,0,Royal Challengers Bangalore,3,0,0,1,1,1
112,2008,Kings XI Punjab,Kolkata Knight Riders,normal,175,175,90,45,0,130,60,74,4,101,30,104,5,71,0,Kolkata Knight Riders,0,3,1,1,0,0
113,2008,Mumbai Indians,Rajasthan Royals,normal,146,146,90,32,1,114,60,67,3,79,30,90,5,56,0,Rajasthan Royals,0,5,1,1,1,0
114,2008,Deccan Chargers,Chennai Super Kings,normal,148,148,90,41,1,107,60,72,2,76,30,114,2,34,0,Chennai Super Kings,0,7,1,1,1,1
115,2008,Rajasthan Royals,Delhi Daredevils,normal,193,87,90,24,2,63,60,56,5,31,30,82,8,5,0,Rajasthan Royals,105,0,0,0,0,0
116,2008,Kings XI Punjab,Chennai Super Kings,normal,113,116,90,30,1,86,60,62,1,54,30,116,1,0,0,Chennai Super Kings,0,9,1,1,1,1
117,2008,Chennai Super Kings,Rajasthan Royals,normal,164,164,90,36,1,128,60,75,3,89,30,112,4,52,0,Rajasthan Royals,0,3,1,1,1,1
118,2009,Mumbai Indians,Chennai Super Kings,normal,166,146,90,33,2,113,60,70,3,76,30,108,5,38,0,Mumbai Indians,19,0,0,0,0,0
119,2009,Royal Challengers Bangalore,Rajasthan Royals,normal,134,58,90,13,2,45,60,32,5,26,30,58,9,0,0,Royal Challengers Bangalore,75,0,0,0,0,0
121,2009,Kolkata Knight Riders,Deccan Chargers,normal,102,104,90,35,2,69,60,69,2,35,30,104,2,0,0,Deccan Chargers,0,8,1,1,1,1
122,2009,Chennai Super Kings,Royal Challengers Bangalore,normal,180,87,90,40,1,47,60,56,5,31,30,85,9,2,0,Chennai Super Kings,92,0,0,1,0,0
124,2009,Deccan Chargers,Royal Challengers Bangalore,normal,185,160,90,25,2,135,60,57,3,103,30,109,4,51,0,Deccan Chargers,24,0,0,0,0,0
125,2009,Delhi Daredevils,Chennai Super Kings,normal,190,180,90,56,0,124,60,106,2,74,30,148,4,32,0,Delhi Daredevils,9,0,0,1,1,1
126,2009,Rajasthan Royals,Kolkata Knight Riders,tie,151,150,90,28,1,122,60,67,3,83,30,98,5,52,0,Rajasthan Royals,0,0,0,0,1,0
127,2009,Royal Challengers Bangalore,Kings XI Punjab,normal,169,173,90,39,0,134,60,80,1,93,30,109,2,64,0,Kings XI Punjab,0,7,1,1,1,1
128,2009,Deccan Chargers,Mumbai Indians,normal,169,156,90,42,1,114,60,84,1,72,30,108,4,48,0,Deccan Chargers,12,0,0,1,1,0
129,2009,Royal Challengers Bangalore,Delhi Daredevils,normal,150,150,90,39,1,111,60,64,2,86,30,99,3,51,0,Delhi Daredevils,0,6,1,1,1,1
130,2009,Kings XI Punjab,Rajasthan Royals,normal,140,112,90,27,4,85,60,48,6,64,30,82,6,30,0,Kings XI Punjab,27,0,0,0,0,0
131,2009,Chennai Super Kings,Deccan Chargers,normal,166,169,90,66,0,103,60,85,2,84,30,129,3,40,0,Deccan Chargers,0,6,1,1,1,1
132,2009,Mumbai Indians,Kolkata Knight Riders,normal,188,95,90,39,2,56,60,70,2,25,30,95,7,0,0,Mumbai Indians,92,0,0,0,0,0
133,2009,Delhi Daredevils,Rajasthan Royals,normal,144,147,90,31,2,116,60,60,3,87,30,96,5,51,0,Rajasthan Royals,0,5,1,0,0,0
134,2009,Kolkata Knight Riders,Royal Challengers Bangalore,normal,140,143,90,40,0,103,60,65,0,78,30,98,2,45,0,Royal Challengers Bangalore,0,5,1,1,1,1
